"","state","area","popu"
"1","Abia",4093.65067412,2488632
"2","Akwa Ibom",6514.80735986,3791977
"3","Anambra",4762.18181994,4182032
"4","Bayelsa",9006.9828104,1626066
"5","Cross River",20936.8665167,2856581
"6","Delta",17105.59657567,4098391
"7","Ebonyi",6342.0132332,2173501
"8","Edo",16833.35577801,2965976
"9","Ekiti",5801.50198789,2384212
"10","Enugu",6766.37707024,3108524
"11","Imo",5049.30788103,3835652
"12","Lagos",3479.716870147,9013534
"13","Ogun",14153.85714069,3377422
"14","Ondo",15031.5988431,3441024
"15","Osun",8595.11940884,3423535
"16","Oyo",27900.30167061,5591589
"17","Rivers",10105.2657095,5010351
